sgx,size,initTime,readTime,writeTime,deleteTime
sgxv2,256,4384.0,1410.35,3544.99,6988.56
sgxv2,512,7639.0,1701.19,4214.61,8507.31
sgxv2,1024,14625.0,2118.02,5298.41,10291.09
sgxv2,2048,28466.0,2514.35,6208.85,11895.86
sgxv2,4096,56202.0,3123.26,7703.3,14184.34
sgxv2,8192,111132.0,3622.05,8860.33,16280.0
sgxv2,16384,222883.0,4411.06,10732.71,18986.64
sgxv2,32768,441465.0,5061.01,12170.74,21130.78
sgxv2,65536,880436.0,5980.4,14410.44,24638.38
sgxv2,131072,1758614.0,6781.23,16074.09,27178.41
sgxv2,262144,3520025.0,7540.12,17973.79,29736.23
sgxv2,524288,7043554.0,8863.29,20885.03,33556.75
sgxv2,1048576,14114788.0,9804.01,22731.34,37078.73
sgxv2,2097152,28342531.0,11274.12,26146.63,41950.41
sgxv2,4194304,56282288.0,12473.16,28725.08,45806.65
sgxv2,8388608,112624555.0,14169.86,32791.4,51223.31
sgxv2,16777216,224634148.0,15511.89,35451.63,55512.89
sgxv2,33554432,451701342.0,17308.5,39187.45,61102.75
sgxv2,67108864,901068966.0,22428.73,51085.76,76945.08
sgxv1,256,6795.0,3629.23,8185.13,17466.6
sgxv1,512,11972.0,4273.29,9578.11,20598.64
sgxv1,1024,22617.0,5298.52,11906.27,24815.48
sgxv1,2048,43294.0,6114.07,13655.8,28242.54
sgxv1,4096,86540.0,7441.92,16593.36,33412.55
sgxv1,8192,172951.0,8584.52,18945.94,37614.43
sgxv1,16384,334973.0,10281.59,22594.84,43849.43
sgxv1,32768,676967.0,11654.02,25411.41,48585.0
sgxv1,65536,1344067.0,13638.74,29614.75,55884.18
sgxv1,131072,2723042.0,15217.37,32795.0,60857.75
sgxv1,262144,5365563.0,16883.36,36185.45,66261.64
sgxv1,524288,10781332.0,19339.45,41393.37,74407.27
sgxv1,1048576,21610379.0,21212.42,45158.54,81355.05
sgxv1,2097152,43091046.0,24211.94,51400.56,91415.76
sgxv1,4194304,86038957.0,26633.32,56140.09,100042.71
sgxv1,8388608,172134563.0,29939.62,63053.63,109411.56
sgxv1,16777216,334970922.0,32246.07,67731.02,117302.24
sgxv1,33554432,685025863.0,36038.52,75293.98,130062.05
sgxv1,67108864,1340056001.0,38473.94,80325.04,138358.82
sgxv2-epc,256,3038.0,2250.73,5623.42,
sgxv2-epc,512,4887.0,2696.19,6679.44,
sgxv2-epc,1024,8558.0,3370.54,8384.27,
sgxv2-epc,2048,16023.0,3877.74,9529.53,
sgxv2-epc,4096,30794.0,4717.79,11596.13,
sgxv2-epc,8192,60386.0,5425.13,13214.55,
sgxv2-epc,16384,119093.0,6502.9,15861.71,
sgxv2-epc,32768,237274.0,7363.2,17786.99,
sgxv2-epc,65536,472880.0,8745.59,21012.34,
sgxv2-epc,131072,944500.0,9817.52,23401.04,
sgxv2-epc,262144,1888464.0,11016.28,26053.64,
sgxv2-epc,524288,3772261.0,12871.74,30090.62,
sgxv2-epc,1048576,7546932.0,14360.12,33344.16,
sgxv2-epc,2097152,15094456.0,16630.61,38308.85,
sgxv2-epc,4194304,30190544.0,18475.86,42107.97,
sgxv2-epc,8388608,60361657.0,21064.42,47798.32,
sgxv2-epc,16777216,120797642.0,23213.87,52097.48,
sgxv2-epc,33554432,241608337.0,26026.16,58475.93,

